id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__cards.dll	lib/wine/aarch64-windows/cards.dll	pe	misc	True	393216	cd9123a6bb88a939729c3dd38ef06917822e60cdebdc39b2feab92edb5802fc4		unknown		cards.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__cdosys.dll	lib/wine/aarch64-windows/cdosys.dll	pe	misc	True	143360	4cec5e4f4ff1e11aa0e424051d5b2323cb0c6ba2625672d0d4dd37a4fa7b8b7a		unknown		cdosys.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__certutil.exe	lib/wine/aarch64-windows/certutil.exe	pe	misc	True	90112	15c836d2d3a773a482879369a271100b77bf80c077575ab11ac9a96597747ec1		unknown		certutil.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__cfgmgr32.dll	lib/wine/aarch64-windows/cfgmgr32.dll	pe	misc	True	221184	6864d47baf829e9086608e162d9faab3a276b9e52c246289e395936b86aae97b		unknown		cfgmgr32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__chcp.com	lib/wine/aarch64-windows/chcp.com	pe	misc	True	102400	d3528fda6ac97dc3b958db5d0775e643f40f379e9549b14549b81dfcad8b3152		unknown		chcp.com	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__clock.exe	lib/wine/aarch64-windows/clock.exe	pe	misc	True	98304	a67ce13422be6240c8ca3074468f3cddcca0007aa184e28ec2dbe19b5877e941		unknown		clock.exe	0		0	0	0	0	kernel32|proton|wine|wow64
lib__wine__aarch64-windows__clusapi.dll	lib/wine/aarch64-windows/clusapi.dll	pe	misc	True	163840	b6e115856ef0ad0040eab2c4533af4ca11b7229c0eb7066e3a16f6dcb2c0c7f3		unknown		clusapi.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__cmd.exe	lib/wine/aarch64-windows/cmd.exe	pe	misc	True	1310720	0235f0b7b7708f317d0375e56579399e9668fc38f9096943e7d629dd43e06960		unknown		cmd.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__cng.sys	lib/wine/aarch64-windows/cng.sys	pe	misc	True	86016	a4c37499df688a9f441517d0d9861dcd902bba36add065f70764a3c04046ba80		unknown		cng.sys	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__colorcnv.dll	lib/wine/aarch64-windows/colorcnv.dll	pe	misc	True	946176	c753a3b0311468c8ce3c50d4d025183a31358078cff6f344364ff8e00fbe3518		unknown		colorcnv.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__combase.dll	lib/wine/aarch64-windows/combase.dll	pe	cpu_translation	True	2760704	60c2d4c2420309893b84af4c9b8f75416ab47730707520538a88c8cee7f5f610		unknown		combase.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__comcat.dll	lib/wine/aarch64-windows/comcat.dll	pe	misc	True	98304	6945b37b0a9ce823550fc1314469b861f140c98c55aaef18131b8d33828d84a1		unknown		comcat.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__comctl32.dll	lib/wine/aarch64-windows/comctl32.dll	pe	misc	True	8265728	776e146828b4824c975266ea6efe962368dcffc6b0ea812feeb39e79e0f2ee3f		unknown		comctl32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__comdlg32.dll	lib/wine/aarch64-windows/comdlg32.dll	pe	cpu_translation	True	2703360	a8ae694da7c2c988894ae6d900456dd30d939608c9f1173c1acbbcca76c0f20a		unknown		comdlg32.dll	0		0	0	0	0	WRAPPER_|fex|kernel32|ntdll|proton|wine|wow64
